document,type,forward_mean_coverage,backward_mean_coverage
Barducci Et Al. - 2025 - A,paper,0.9285714285714286,0.8928571428571429
Bean Et Al. - 2025 - Measuring What,paper,0.9,0.85
Boozer - 2026 - Comment On Nuclear,paper,0.875,0.875
Dracula,novel,0.3482142857142857,0.42857142857142855
Frankenstein,novel,0.49137931034482757,0.43103448275862066
Gambler,novel,0.5833333333333334,0.6944444444444444
Little Brother,novel,0.6022727272727273,0.5795454545454546
Pride And Prejudice,novel,0.2755102040816326,0.17857142857142858
Qin Et Al.-2025-Large Language Models,paper,0.90625,0.90625
Rudinger Et Al. - 2018 - Neural Models,paper,0.9583333333333334,0.7708333333333334
The Great Gatsby,novel,0.875,0.7
The Strange Case Of Dr. Jekyll And Mr.,novel,0.6818181818181818,0.75
Ting Et Al. - 2025 - Astro Mlab5,paper,0.7954545454545454,0.9318181818181818
Łajewska Et Al. - 2025 - Understanding,paper,0.9772727272727273,0.7954545454545454
