document,type,num_chapters,forward_mean,forward_std,backward_mean,backward_std
Barducci Et Al. - 2025 - A,paper,7,0.9296419279915946,0.09984664014496758,0.792942830494472,0.16639461477989784
Bean Et Al. - 2025 - Measuring What,paper,10,0.9146294713020324,0.04584575857570442,0.8314688563346863,0.0801381130243562
Boozer - 2026 - Comment On Nuclear,paper,6,0.9354164401690165,0.06729680253979402,0.9269139269987742,0.059838553787623705
Dracula,novel,28,0.9917456316096442,0.03469986385278477,0.975080383675439,0.05873320458207014
Frankenstein,novel,29,0.9622790566806135,0.046475177966570344,0.7732761974992424,0.13392545856075702
Gambler,novel,18,0.9693061841858758,0.05130366118217455,0.8051242894596524,0.05134490090120449
Little Brother,novel,22,0.9889991771091114,0.045614289681542484,0.9726052338426764,0.029475873003102268
Pride And Prejudice,novel,49,0.9978790404845257,0.01396921665824739,0.8056933539254325,0.05074754047716888
Qin Et Al.-2025-Large Language Models,paper,8,0.8843196332454681,0.11724243907164585,0.8039146587252617,0.1164453712531198
Rudinger Et Al. - 2018 - Neural Models,paper,12,0.8653252770503362,0.08674322714351015,0.8018175462881724,0.12843790333305397
The Great Gatsby,novel,10,0.9576810777187348,0.04337708606722421,0.954035359621048,0.06492676129174914
The Strange Case Of Dr. Jekyll And Mr.,novel,11,0.8805892304940657,0.05526872202280797,0.89871685071425,0.09521676952763866
Ting Et Al. - 2025 - Astro Mlab5,paper,11,0.8901949362321333,0.0744208993217648,0.8307892084121704,0.13711597312534474
Łajewska Et Al. - 2025 - Understanding,paper,11,0.9421442421999845,0.0761241909712209,0.708257566798817,0.09612819789716118
