document,type,forward_mean_coverage,backward_mean_coverage
Barducci Et Al. - 2025 - A,paper,0.9642857142857143,1.0
Bean Et Al. - 2025 - Measuring What,paper,0.9,0.925
Boozer - 2026 - Comment On Nuclear,paper,0.9583333333333334,0.9583333333333334
Dracula,novel,0.3392857142857143,0.4107142857142857
Frankenstein,novel,0.39655172413793105,0.5862068965517241
Gambler,novel,0.2361111111111111,0.2777777777777778
Little Brother,novel,0.5,0.2727272727272727
Pride And Prejudice,novel,0.413265306122449,0.2602040816326531
Qin Et Al.-2025-Large Language Models,paper,0.9375,0.875
Rudinger Et Al. - 2018 - Neural Models,paper,0.7916666666666666,0.8125
The Great Gatsby,novel,0.5,0.7
The Strange Case Of Dr. Jekyll And Mr.,novel,0.38636363636363635,0.5
Ting Et Al. - 2025 - Astro Mlab5,paper,0.7045454545454546,0.6136363636363636
Łajewska Et Al. - 2025 - Understanding,paper,0.75,0.7045454545454546
