document,type,num_chapters,forward_mean,forward_std,backward_mean,backward_std
Barducci Et Al. - 2025 - A,paper,7,0.930483877658844,0.05876621431299374,0.8308704239981515,0.12730399882242774
Bean Et Al. - 2025 - Measuring What,paper,10,0.8829576849937439,0.07278140551162304,0.7361582040786743,0.10148287388936787
Boozer - 2026 - Comment On Nuclear,paper,6,0.8529438674449921,0.11443697766039823,0.8998329341411591,0.09779315598270709
Dracula,novel,28,0.8355945476463863,0.06207632384142981,0.6605756772415978,0.09579975093953146
Frankenstein,novel,29,0.8825024160845526,0.08989797097778011,0.5183270326976118,0.13106108026195298
Gambler,novel,18,0.8826704621315002,0.043868028680864896,0.7243745161427392,0.10410236028160642
Little Brother,novel,22,0.8060361309485002,0.08085640283950575,0.5440216836604205,0.1210190110681051
Pride And Prejudice,novel,49,0.9473296355228035,0.02395648655102842,0.778266433550387,0.08603762443696655
Qin Et Al.-2025-Large Language Models,paper,8,0.8623047024011612,0.12277677843589169,0.795139990746975,0.1087611655928498
Rudinger Et Al. - 2018 - Neural Models,paper,12,0.9311234454313914,0.08493165054410491,0.8065499762694041,0.11933022836597522
The Great Gatsby,novel,10,0.9018816947937012,0.07762961463292306,0.7270463109016418,0.10548104800836614
The Strange Case Of Dr. Jekyll And Mr.,novel,11,0.8340416333892129,0.08944965139510323,0.730617035518993,0.10388502439699185
Ting Et Al. - 2025 - Astro Mlab5,paper,11,0.8913551298054782,0.05455207872569514,0.7845649339935996,0.08926174863556019
Łajewska Et Al. - 2025 - Understanding,paper,11,0.9066161459142511,0.09093952687365596,0.8466295545751398,0.0795301215412214
